GOOD_NAME,ADG_CODE,ADG_CODE_CLEANED,GOOD_NAME_CLEANED,weight_g,weight_kg,volume_ml,volume_l,count,size,BRAND,BRAND_CONFIDENCE,CATEGORY,GOOD_NAME_NORMALIZED,price_amd,quantity_kg,IS_MISSING_BRAND,HAS_MEASUREMENT,NAME_LENGTH,WORD_COUNT,PRODUCT_ID
ԱԹԵՆՔ   խոզի Ջերքի 30գ QR,208.0,208,ԱԹԵՆՔ խոզի Ջերքի 30գ QR,30.0,0.0,0.0,0.0,0.0,0,Athenk,1.0,Other,խոզի Ջերքի QR,0.0,0.0,0,1,23,5,209
կոտլետ Գանձասար կգ,210.0,210,կոտլետ Գանձասար կգ,0.0,0.0,0.0,0.0,0.0,0,Ganjasar,1.0,Food Products,կոտլետ կգ,0.0,0.0,0,0,18,3,151
ՊԵԼՄԵՆՆԵՐ ԳԱՆՁԱՍԱՐ 0.5,210.0,210,ՊԵԼՄԵՆՆԵՐ ԳԱՆՁԱՍԱՐ 0 5,0.0,0.0,0.0,0.0,0.0,0,Ganjasar,1.0,Other,ՊԵԼՄԵՆՆԵՐ 0 5,0.0,0.0,0,0,22,4,1058
Նրբերշիկ Նյու Յորկ Աթենք 300գ,210.0,210,Նրբերշիկ Նյու Յորկ Աթենք 300գ,300.0,0.0,0.0,0.0,0.0,0,Athenk,1.0,Food Products,Նրբերշիկ Նյու Յորկ,0.0,0.0,0,1,29,5,1084
Սալ <<ԱԹԵՆՔ>>,210.0,210,Սալ ԱԹԵՆՔ,0.0,0.0,0.0,0.0,0.0,0,Athenk,1.0,Other,Սալ,0.0,0.0,0,0,9,2,1329
նրբերշիկ Արմենիա աղքով կգ,210.0,210,նրբերշիկ Արմենիա աղքով կգ,0.0,0.0,0.0,0.0,0.0,0,Unknown,0.0,Food Products,նրբերշիկ Արմենիա աղքով կգ,0.0,0.0,1,0,25,4,1243
կոտլետ Գանձասար հավի կգ,210.0,210,կոտլետ Գանձասար հավի կգ,0.0,0.0,0.0,0.0,0.0,0,Ganjasar,1.0,Food Products,կոտլետ հավի կգ,0.0,0.0,0,0,23,4,1029
"Նրբերշիկ ""ԳԱՆՁԱՍԱՐ"" ԾԽԵՑՐԱԾ 350գր",210.0,210,Նրբերշիկ ԳԱՆՁԱՍԱՐ ԾԽԵՑՐԱԾ 350գր,350.0,0.0,0.0,0.0,0.0,0,Ganjasar,1.0,Food Products,Նրբերշիկ ԾԽԵՑՐԱԾ,0.0,0.0,0,1,31,4,1055
Կաթնաշոռային պանիր <<Մարիաննա>> սերուցքային 60% 18,401.0,401,Կաթնաշոռային պանիր Մարիաննա սերուցքային 60 18,0.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,Կաթնաշոռային պանիր սերուցքային 60 18,0.0,0.0,0,0,45,6,430
Մարիաննա-Մածուն 3.6прц 1800գ,401.0,401,Մարիաննա-Մածուն 3 6прц 1800գ,1800.0,0.0,0.0,0.0,0.0,0,Marianna,1.0,Food Products,-Մածուն 3 6прц,0.0,0.0,0,1,28,4,1926
"Կաթ Մարիաննա 1,5 % 0,5 լ",401.0,401,Կաթ Մարիաննա 1 5 0 5 լ,0.0,0.0,5000.0,5.0,0.0,0,Marianna,1.0,Food Products,Կաթ 1 5 0,0.0,0.0,0,1,22,7,1323
