GOOD_NAME_CLEANED,GOOD_NAME_NORMALIZED,ADG_CODE_CLEANED,BRAND,CATEGORY,weight_g,volume_ml,count
Շոկոլադե Ձվիկ Kinder JOY Girl,Շոկոլադե Ձվիկ Kinder JOY Girl,-1,Unknown,Food Products,0.0,0.0,0.0
Մածուկ Կոլգեյթ Max Fresh Cln Mint 10 0մլ,Մածուկ Max Fresh Cln Mint 10,-1,Colgate,Clothing,0.0,0.0,0.0
Քոլգեյթ ատամի խոզանակ կլասիկ,ատամի խոզանակ կլասիկ,-1,Colgate,Other,0.0,0.0,0.0
C NESCAFE CLASSIC Arabica Doy Pack 8x320g- լուծվող սուրճ 12477176,C CLASSIC Arabica Doy Pack 8x- լուծվող սուրճ 12477176,-1,Nescafe,Beverages,320.0,0.0,0.0
LED Հեռուստացույց SAMSUNG UE65CU8000UXRU,LED Հեռուստացույց UE65CU8000UXRU,-1,Samsung,Electronics,0.0,0.0,0.0
C NESCAFE GOLD Arabica Doy Pack12x40g- լուծվող սուրճ 12448687,C GOLD Arabica Doy Pack12x- լուծվող սուրճ 12448687,-1,Nescafe,Beverages,40.0,0.0,0.0
Գինի Արմենիա կարմիր չոր 1 5լ,Գինի Արմենիա կարմիր չոր 1,-1,Unknown,Beverages,0.0,5000.0,0.0
Անձեռոցիկ փափուկ 300հ 2շ Սիլկ Սոֆտ,Անձեռոցիկ փափուկ 2շ Սիլկ Սոֆտ,-1,Unknown,Household,0.0,0.0,300.0
Պանիր Չանախ 47 4 5 կգ /կանաչիով/,Պանիր Չանախ 47 4 /կանաչիով/,-1,Unknown,Food Products,5000.0,0.0,0.0
անձեռոցիկ քաշովի Սիլկ Սոֆթ 100h 3շ 2521,անձեռոցիկ քաշովի 100h 3շ 2521,-1,Silk Soft,Household,0.0,0.0,0.0
Սափրիչ Gillette Venus Breeze 1հատ,Սափրիչ Venus Breeze,-1,Gillette,Cosmetics,0.0,0.0,1.0
Զուգագուլպա Alex Classica 40 Natural 3/M,Զուգագուլպա Classica 40 Natural 3/M,-1,Alex,Clothing,0.0,0.0,0.0
Գազավորված ըմպելիք Կոկա Կոլա,Գազավորված ըմպելիք,-1,Coca-Cola,Beverages,0.0,0.0,0.0
Ararat Charcoal s sl,Ararat Charcoal s sl,-1,Unknown,Clothing,0.0,0.0,0.0
Տակդիրներ մանկական Փամփերս Մաքսի 9-14կգ 13,Տակդիրներ մանկական Փամփերս Մաքսի 9- 13,-1,Unknown,Household,14000.0,0.0,0.0
Samsung Galaxy A25 8/128GB,Galaxy A25 8/128GB,-1,Samsung,Electronics,0.0,0.0,0.0
Քարթրիջ Samsung SCX4200 3K NetProduct,Քարթրիջ SCX4200 3K NetProduct,-1,Samsung,Electronics,0.0,0.0,0.0
Սիգարետ Ararat exclusive 100,Սիգարետ Ararat exclusive 100,-1,Unknown,Clothing,0.0,0.0,0.0
Տակդիր Pampers N7 44հատ 15 կգ,Տակդիր N7,-1,Pampers,Household,15000.0,0.0,44.0
գրանդ քենդի կակաո փոշի,կակաո փոշի,-1,Grand Candy,Household,0.0,0.0,0.0
Թխվածքաբլիթ 132գ MILKA Loop,Թխվածքաբլիթ Loop,-1,Milka,Food Products,132.0,0.0,0.0
Հեռուստացույց Samsung TV UE50TU7002UXCE,Հեռուստացույց TV UE50TU7002UXCE,-1,Samsung,Electronics,0.0,0.0,0.0
Ժիլետ Պրոգլայդ Ստայլեր սափրվելու հավաքածու,Պրոգլայդ Ստայլեր սափրվելու հավաքածու,-1,Gillette,Cosmetics,0.0,0.0,0.0
Լվացքի հեղուկ Սավեքս Parfume Color 1 1 լ,Լվացքի հեղուկ Parfume Color 1,-1,Savax,Household,0.0,1000.0,0.0
Տակդիր Փամփերս պրեմիում N2 N88,Տակդիր Փամփերս պրեմիում N2 N88,-1,Unknown,Household,0.0,0.0,0.0
Տակդիրներ մանկական Փամփերս Մինի 4-8կգ 96 50171,Տակդիրներ մանկական Փամփերս Մինի 4- 96 50171,-1,Unknown,Household,8000.0,0.0,0.0
Սուրճ Ռոյալ Արմենիա աղացած կլասիկ 100գ,Սուրճ Արմենիա աղացած կլասիկ,-1,Royal,Beverages,100.0,0.0,0.0
Вода Газированная Coca cola кофе ж/б 0 25л л,Вода Газированная кофе ж/б 0 25л л,-1,Coca-Cola,Clothing,0.0,0.0,0.0
Գուլպա տղամարդու Ալեքս մուգ կապույտ 41-42 MT-51001,Գուլպա տղամարդու մուգ կապույտ 41-42 MT-51001,-1,Alex,Clothing,0.0,0.0,0.0
սուրճ Արարատ,սուրճ Արարատ,-1,Unknown,Beverages,0.0,0.0,0.0
կոկա կոլա 0 25 լ,0,-1,Coca-Cola,Beverages,0.0,25000.0,0.0
Գուլպա մանկական Ալեքս կապույտ ժապավենով 31-34 Ջ1539,Գուլպա մանկական կապույտ ժապավենով 31-34 Ջ1539,-1,Alex,Clothing,0.0,0.0,0.0
Բջջային հեռախոս SAMSUNG S23FE S711 128GB Gray,Բջջային հեռախոս S23FE S711 128GB Gray,-1,Samsung,Electronics,0.0,0.0,0.0
Երշիկ Սինյուգա/Սերվելատ Աթենք,Երշիկ Սինյուգա/Սերվելատ,-1,Athenk,Food Products,0.0,0.0,0.0
Սուրճ լուծվող Նեսկաֆե կլասսիկ կրեմա 190գ,Սուրճ լուծվող կլասսիկ կրեմա,-1,Nescafe,Beverages,190.0,0.0,0.0
Գարնիեր ՍքինՆաթ դիմակ/դեմքի Մաքուր մաշկ ածխով 50մլ,ՍքինՆաթ դիմակ/դեմքի Մաքուր մաշկ ածխով,-1,Garnier,Cosmetics,0.0,50.0,0.0
Մասկա մազի Garnier Fructis 300մլ,Մասկա մազի Fructis,-1,Garnier,Clothing,0.0,300.0,0.0
ժբ կոկա-կոլա,ժբ,-1,Coca-Cola,Beverages,0.0,0.0,0.0
Սառնարան SAMSUNG RT62K7110SL/WT,Սառնարան RT62K7110SL/WT,-1,Samsung,Electronics,0.0,0.0,0.0
81383 Nivea Բալզամ սափրվելուց հետո FRESH KICK 100մլ,81383 Բալզամ սափրվելուց հետո FRESH KICK,-1,Nivea,Cosmetics,0.0,100.0,0.0
Փոշի Samsung CLP-300 Yellow 45գր Content,Փոշի CLP-300 Yellow Content,-1,Samsung,Electronics,45.0,0.0,0.0
Գազավորված ըմպելիք Կոկա Կոլա Զերո 0 5լ,Գազավորված ըմպելիք Զերո 0,-1,Coca-Cola,Beverages,0.0,5000.0,0.0
Սիգարետ Արարատ 84/7 9,Սիգարետ Արարատ 84/7 9,-1,Unknown,Other,0.0,0.0,0.0
Զուգագուլպա Alex Classica 40d XS-XL H Moka 2/S,Զուգագուլպա Classica 40d XS-XL H Moka 2/S,-1,Alex,Clothing,0.0,0.0,0.0
Գազավորված ըմպելիք կոկա Կոլա 0 5լ,Գազավորված ըմպելիք 0,-1,Coca-Cola,Beverages,0.0,5000.0,0.0
Յաշկինո Թխվածքաբլիթ Քունջութով 200գր,Թխվածքաբլիթ Քունջութով,-1,Yashkino,Food Products,200.0,0.0,0.0
Շամպուն Գարնիեր Ֆրուկտիս Սուպերֆուդ Պապայա վերականգնում 350մլ,Շամպուն Ֆրուկտիս Սուպերֆուդ Պապայա վերականգնում,-1,Garnier,Cosmetics,0.0,350.0,0.0
հոտազերծիչ տղամարդու 50մլ գնդիկավոր Nivea սև և սպիտակ անտեսանելի Fresh 85970,հոտազերծիչ տղամարդու գնդիկավոր սև և սպիտակ անտեսանելի Fresh 85970,-1,Nivea,Cosmetics,0.0,50.0,0.0
Համակարգիչ I3-12100 մայր սալ ASU S PRIME H610M-R D4-SI օդափոխիչ SE903-SD V3 հիշող սարք LEXAR 16GB հա մ իրան սնուց բլոկ STC550 հիշող սար ք SAMSUNG SSD 870 EVO 500GB MZ-77 E500BW,Համակարգիչ I3-12100 մայր սալ ASU S PRIME H610M-R D4-SI օդափոխիչ SE903-SD V3 հիշող սարք LEXAR 16GB հա մ իրան սնուց բլոկ STC550 հիշող սար ք SSD 870 EVO 500GB MZ-77 E500BW,-1,Samsung,Electronics,0.0,0.0,3.0
Անձեռոցիկ տուփ Սիլկ Սոֆտ 70հ,Անձեռոցիկ տուփ Սիլկ Սոֆտ,-1,Unknown,Household,0.0,0.0,70.0
Ծխախոտ Արարատ Sllims,Ծխախոտ Արարատ Sllims,-1,Unknown,Clothing,0.0,0.0,0.0
C NESCAFE CLASSIC Arabika doy pack 6 500g լուծվող սուրճ,C CLASSIC Arabika doy pack 6 լուծվող սուրճ,-1,Nescafe,Beverages,500.0,0.0,0.0
Զուգ թուղթ Սիլկ սոֆթ 65մ էժան,Զուգ թուղթ 65մ էժան,-1,Silk Soft,Other,0.0,0.0,0.0
Բալզամ Նիվեա 100մլ,Բալզամ,-1,Nivea,Cosmetics,0.0,100.0,0.0
Փամփերս N1 բեյբի 2-5կգ N27 Պրոկտեր Հեմբլ,Փամփերս N1 բեյբի 2- N27 Պրոկտեր Հեմբլ,-1,Unknown,Other,5000.0,0.0,0.0
Ատամի խոզանակ Քոլգեյթ 360! օպտիկ ուայթ,Ատամի խոզանակ 360! օպտիկ ուայթ,-1,Colgate,Other,0.0,0.0,0.0
Կոնֆետ Գրանդ Քենդի Պանդա,Կոնֆետ Պանդա,-1,Grand Candy,Food Products,0.0,0.0,0.0
Թխվածքաբլիթ Միլկա Շոկո Ջաֆֆա նարնջի 147գր,Թխվածքաբլիթ Շոկո Ջաֆֆա նարնջի,-1,Milka,Food Products,147.0,0.0,0.0
Սառը Թեյ Royal Armenia 20գ,Սառը Թեյ,-1,Royal,Beverages,20.0,0.0,0.0
Նրբերշիկ ծխեցրած Գանձասար 12հատ,Նրբերշիկ ծխեցրած,-1,Ganjasar,Food Products,0.0,0.0,12.0
Տակդիր Pampers N1 43 1,Տակդիր N1 43 1,-1,Pampers,Household,0.0,0.0,0.0
Գինի Արտ Արմենիա կարմիր անապակ 0 75լ,Գինի կարմիր անապակ 0,-1,Art Armenia,Beverages,0.0,75000.0,0.0
Պամպերս 5 օրգ 56հ,5 օրգ,-1,Pampers,Other,0.0,0.0,56.0
Գազավորված ըմպելիք Կոկա Կոլա վանիլ թ/տ 0 33մլ,Գազավորված ըմպելիք վանիլ թ/տ 0,-1,Coca-Cola,Beverages,0.0,33.0,0.0
Արտ Արմենիա գինի 0 7լ,գինի 0,-1,Art Armenia,Beverages,0.0,7000.0,0.0
23141 Պիլմենի գանձասար 450գ,23141 Պիլմենի,-1,Ganjasar,Other,450.0,0.0,0.0
Սուրճ Ռոյալ Արմենիա 100գ,Սուրճ Արմենիա,-1,Royal,Beverages,100.0,0.0,0.0
Nescafe Gold 95g,Gold,0,Nescafe,Clothing,95.0,0.0,0.0
6110 ժիլետ,6110,47,Gillette,Clothing,0.0,0.0,0.0
Նեսկաֆե Գոլդ սուրճ,Գոլդ սուրճ,56,Nescafe,Beverages,0.0,0.0,0.0
ԱՐԱՐԱՏ հանքային,ԱՐԱՐԱՏ հանքային,56,Unknown,Other,0.0,0.0,0.0
Ararat Apricot 0 05 Արարատ Ծիրանի,Ararat Apricot 0 05 Արարատ Ծիրանի,56,Unknown,Other,0.0,0.0,0.0
Գինի Արմենիա կարմիր կիսաքաղցր կարմիր չոր շիշ,Գինի Արմենիա կարմիր կիսաքաղցր կարմիր չոր շիշ,56,Unknown,Beverages,0.0,0.0,0.0
